epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1,learning_rate,epoch_time
1,0.3323090255393939,0.3548103241731945,0.85501,0.8467,0.9245652706343375,0.755,0.8312231641528129,0.0009619778264893878,829.675234079361
2,0.29609476381666144,0.29660168571022755,0.87619,0.87505,0.8886125790073568,0.8576,0.872830899190881,0.0008536998372026805,528.1014683246613
3,0.2846746058921286,0.3130181394160365,0.88056,0.86505,0.8582082229418114,0.8746,0.8663265811500173,0.0006916503744663625,530.1019010543823
4,0.2766102003034917,0.31026120364856413,0.88467,0.8655,0.9313193297144206,0.7892,0.8543899534480892,0.0005005000000000001,546.6674666404724
5,0.2674166896760044,0.2694218036608574,0.88897,0.88595,0.8798346619427222,0.894,0.8868607707950994,0.00030934962553363774,535.1857771873474
6,0.26148041280526346,0.2719687335312176,0.89064,0.886,0.8832406671961874,0.8896,0.886408927859705,0.00014730016279731955,525.6652626991272
7,0.253784882835448,0.27480420110800774,0.89447,0.88315,0.8729679743015673,0.8968,0.8847235238987816,3.902217351061228e-05,525.0679812431335
8,0.2484416919054317,0.2735812834228951,0.89686,0.8846,0.896413110698825,0.8697,0.8828545325347681,1e-06,593.934408903122
